,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,159,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
1,160,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
2,161,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
3,162,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
4,114,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
5,115,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
6,113,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
7,114,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CATURITÉ,"R$ 6.856,00"
8,70,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 11.903,50"
9,508,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CATURITÉ,"R$ 17.870,00"
10,573,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
11,574,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
12,575,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
13,576,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
14,418,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
15,419,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
16,420,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
17,420,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.759,96"
18,421,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
19,422,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CATURITÉ,"R$ 9.760,06"
20,134,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 86.746,95"
21,193,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 103.082,21"
22,233,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 114.062,24"
23,332,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 142.647,21"
24,121,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 82.132,97"
25,207,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 101.816,66"
26,244,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 113.203,02"
27,328,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 137.024,65"
28,96,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 82.845,94"
29,144,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 100.378,35"
30,347,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 180.606,46"
31,432,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 217.983,25"
32,169,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 13.202,42"
33,170,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CATURITÉ,"R$ 13.202,42"
